trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.382, 'e': 0.4149999999999995}",25,16,-5.8424443827592345,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.382, 'e': 0.4099999999999995}",25,9,-24.427058528597343,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.382, 'e': 0.40499999999999947}",20,13,-8.14515631041278,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.382, 'e': 0.39999999999999947}",25,3,-56.13511878643906,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
121,False,"{'a': 0.382, 'e': 0.39499999999999946}",20,1,3.014286553063888,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.382, 'e': 0.38999999999999946}",25,17,-26.499094362786863,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.382, 'e': 0.38499999999999945}",25,16,15.200040418112131,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.382, 'e': 0.37999999999999945}",25,20,8.423030683763702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.382, 'e': 0.37499999999999944}",20,7,7.798813535701847,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.382, 'e': 0.36999999999999944}",20,13,11.944257638069386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.382, 'e': 0.36499999999999944}",25,16,2.546398592477419,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.382, 'e': 0.35999999999999943}",25,12,10.933820131627908,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.382, 'e': 0.3549999999999994}",20,9,-17.813112436712853,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.382, 'e': 0.3499999999999994}",25,11,1.7623103146526935,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.382, 'e': 0.3449999999999994}",30,17,-5.081948900449344,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.382, 'e': 0.3399999999999994}",30,18,24.32587454916613,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.382, 'e': 0.3349999999999994}",20,16,7.481075014754045,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.382, 'e': 0.3299999999999994}",20,11,-2.8852764525191565,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.382, 'e': 0.3249999999999994}",20,11,-4.17772905603099,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.382, 'e': 0.3199999999999994}",20,15,10.05198200346383,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.382, 'e': 0.3149999999999994}",25,20,9.158109307842903,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.382, 'e': 0.3099999999999994}",30,19,21.09920279774646,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.382, 'e': 0.3049999999999994}",25,12,9.460785953037533,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
