trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4134245467960624, 'e': 0.6689717585696803}",20,9,-40.39545628536611,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.4092903013281018, 'e': 0.6622820409839835}",20,8,-16.695187019606024,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.40519739831482077, 'e': 0.6556592205741436}",25,9,4.164071183034519,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.40114542433167255, 'e': 0.6491026283684022}",20,1,-49.33749389010989,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
44,False,"{'a': 0.39713397008835577, 'e': 0.6426116020847181}",20,0,-59.633791584903854,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.39316263038747223, 'e': 0.6361854860638709}",25,0,-84.05564232953625,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.3892310040835975, 'e': 0.6298236312032323}",25,8,-8.636903430649957,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.38533869404276155, 'e': 0.6235253948912}",20,0,-14.331746262905549,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.38148530710233397, 'e': 0.617290140942288}",25,9,-67.3382379170115,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.37767045403131055, 'e': 0.611117239532865}",30,0,-73.21453198289694,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.37389374949099746, 'e': 0.6050060671375364}",20,12,2.309856438569682,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.37015481199608746, 'e': 0.598956006466161}",30,0,-62.03736788943794,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.36645326387612664, 'e': 0.5929664464014994}",25,0,-19.37149235287289,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.3627887312373654, 'e': 0.5870367819374844}",25,4,-215.24204727650564,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 5}",1
54,False,"{'a': 0.3591608439249917, 'e': 0.5811664141181095}",30,20,7.042046811454851,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.3555692354857418, 'e': 0.5753547499769285}",20,12,1.0961195231346235,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.35201354313088434, 'e': 0.5696012024771592}",30,21,9.382561946959106,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3484934076995755, 'e': 0.5639051904523875}",20,12,-48.432971692884934,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.34500847362257975, 'e': 0.5582661385478637}",20,8,-33.87625254936894,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.341558388886354, 'e': 0.5526834771623851}",35,3,-35.70626764791888,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 0}",1
60,False,"{'a': 0.33814280499749044, 'e': 0.5471566423907612}",25,3,-5.376767861359438,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.3347613769475155, 'e': 0.5416850759668536}",25,7,-34.59338528196233,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.33141376317804033, 'e': 0.536268225207185}",20,9,-3.7762901190891647,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.32809962554625993, 'e': 0.5309055429551132}",25,0,-30.105236336818777,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.3248186292907973, 'e': 0.525596487525562}",25,9,28.617774318493357,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.32157044299788934, 'e': 0.5203405226503064}",20,8,11.012849881186828,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.3183547385679104, 'e': 0.5151371174238033}",20,0,-50.33856734425855,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.31517119118223136, 'e': 0.5099857462495653}",25,0,14.623487196217221,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.312019479270409, 'e': 0.5048858887870696}",25,0,-58.99093822065983,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.3088992844777049, 'e': 0.4998370298991989}",35,23,6.282602099863601,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.3058102916329279, 'e': 0.49483865960020695}",20,12,-61.86174534135761,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
71,False,"{'a': 0.30275218871659865, 'e': 0.4898902730042049}",25,0,-30.027737025140294,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.2997246668294326, 'e': 0.48499137027416284}",25,20,11.806403462366728,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.2967274201611383, 'e': 0.4801414565714212}",20,0,-88.33076569242199,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.2937601459595269, 'e': 0.47534004200570695}",20,4,20.193306717738317,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.2908225444999316, 'e': 0.4705866415856499}",30,3,-66.20153739369235,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 1}",1
76,False,"{'a': 0.2879143190549323, 'e': 0.46588077516979337}",25,0,-30.264322176118725,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.285035175864383, 'e': 0.46122196741809546}",20,0,-109.13151035272445,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
78,False,"{'a': 0.28218482410573914, 'e': 0.4566097477439145}",20,11,-4.329939626363706,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.2793629758646818, 'e': 0.45204365026647536}",25,0,-45.55504793531661,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.27656934610603495, 'e': 0.4475232137638106}",20,1,-4.24157703172612,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.2738036526449746, 'e': 0.4430479816261725}",20,13,11.846574349906899,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.27106561611852487, 'e': 0.43861750180991077}",25,1,-10.01906845559561,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.2683549599573396, 'e': 0.43423132679181164}",30,13,-33.2695815796935,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.2656714103577662, 'e': 0.4298890135238935}",30,0,0.03508527434850828,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.26301469625418855, 'e': 0.4255901233886546}",20,2,-83.92804800883773,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
86,False,"{'a': 0.2603845492916466, 'e': 0.421334222154768}",35,0,-7.30696559727669,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.25778070379873014, 'e': 0.41712087993322033}",20,12,10.268082879812976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.25520289676074287, 'e': 0.41294967113388814}",20,0,-23.81261873606812,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.25265086779313545, 'e': 0.40882017442254925}",20,0,16.43384320687571,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.2501243591152041, 'e': 0.4047319726783238}",25,0,-10.603354010271893,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.24762311552405206, 'e': 0.40068465295154054}",20,0,-36.5413158871183,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.24514688436881152, 'e': 0.3966778064220251}",30,17,4.829085743063414,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.2426954155251234, 'e': 0.39271102835780486}",35,10,9.96604839479713,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.24026846136987215, 'e': 0.3887839180742268}",20,0,-59.60884865635707,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
95,False,"{'a': 0.23786577675617343, 'e': 0.38489607889348454}",20,5,24.071417823430654,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2354871189886117, 'e': 0.38104711810454966}",25,6,-3.089999608655221,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.23313224779872557, 'e': 0.37723664692350417}",20,8,-1.4935495934218013,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.23080092532073834, 'e': 0.37346428045426916}",20,9,8.161866455901151,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.22849291606753094, 'e': 0.36972963764972644}",25,8,30.12126194027853,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.22620798690685565, 'e': 0.3660323412732292}",20,13,-0.47585890991956425,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.22394590703778708, 'e': 0.3623720178604969}",25,12,2.8327011276744476,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.2217064479674092, 'e': 0.3587482976818919}",20,12,-9.090766121715092,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.2194893834877351, 'e': 0.355160814705073}",25,12,24.43215968972779,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.21729448965285775, 'e': 0.35160920655802225}",20,0,-9.286428231755602,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.21512154475632916, 'e': 0.348093114492442}",25,0,-2.278233609042526,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.21297032930876586, 'e': 0.3446121833475176}",20,0,-31.422835869079016,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.21084062601567824, 'e': 0.34116606151404244}",20,8,6.904128971693325,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.20873221975552145, 'e': 0.337754400898902}",30,2,17.606434848774274,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.20664489755796622, 'e': 0.334376856889913}",20,0,6.100893009530152,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
110,False,"{'a': 0.20457844858238655, 'e': 0.33103308832101386}",20,9,-1.3525804155626784,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2025326640965627, 'e': 0.3277227574378037}",25,9,11.342552144646927,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.20050733745559707, 'e': 0.3244455298634257}",20,10,18.57886693624486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1985022640810411, 'e': 0.3212010745647914}",25,14,13.842122432517534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.19651724144023067, 'e': 0.3179890638191435}",20,9,20.925309110498453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.19455206902582836, 'e': 0.31480917318095203}",20,10,-35.3203535299063,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
116,False,"{'a': 0.19260654833557006, 'e': 0.3116610814491425}",30,19,-5.705770802537872,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.19068048285221437, 'e': 0.30854447063465107}",20,8,-2.0359245194094076,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.18877367802369224, 'e': 0.3054590259283046}",20,9,-45.55421755507651,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.1868859412434553, 'e': 0.30240443566902153}",30,18,20.152730335507567,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.18501708183102075, 'e': 0.2993803913123313}",20,0,9.517907799211848,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.18316691101271054, 'e': 0.296386587399208}",25,5,35.93116764209585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.18133524190258343, 'e': 0.2934227215252159}",20,1,-33.17555307488002,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.1795218894835576, 'e': 0.29048849430996376}",30,20,4.349543593022226,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.17772667058872202, 'e': 0.2875836093668641}",20,3,-16.15966145743459,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.17594940388283478, 'e': 0.28470777327319546}",20,5,18.970842747006664,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.17418990984400645, 'e': 0.2818606955404635}",25,11,23.3037953998854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.17244801074556637, 'e': 0.27904208858505886}",25,11,7.772138000176904,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.17072353063811072, 'e': 0.2762516676992083}",20,13,13.592754429488103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.16901629533172963, 'e': 0.2734891510222162}",35,14,6.195684307872333,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.16732613237841232, 'e': 0.27075425951199406}",25,6,-14.224362510246337,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.1656528710546282, 'e': 0.2680467169168741}",25,18,3.1220527251567054,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.1639963423440819, 'e': 0.26536624974770534}",20,8,7.5046796719509805,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.1623563789206411, 'e': 0.2627125872502283}",20,12,16.18778264175263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1607328151314347, 'e': 0.26008546137772603}",20,9,6.223153737716384,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.15912548698012033, 'e': 0.25748460676394874}",25,0,-45.22148411990663,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
136,False,"{'a': 0.15753423211031914, 'e': 0.2549097606963093}",20,0,1.2972927489000787,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.15595888978921593, 'e': 0.2523606630893462}",30,6,3.3585970837165413,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
