trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.4176005523192549, 'e': 0.6757290490602831}",20,5,-29.059603993682142,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.4134245467960624, 'e': 0.6689717585696803}",20,13,1.3581422252352149,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.4092903013281018, 'e': 0.6622820409839835}",25,0,-59.44396614926124,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
43,False,"{'a': 0.40519739831482077, 'e': 0.6556592205741436}",20,6,-41.00221191660269,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
44,False,"{'a': 0.40114542433167255, 'e': 0.6491026283684022}",20,0,-73.26225634815553,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.39713397008835577, 'e': 0.6426116020847181}",25,6,-13.99797996099617,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.39316263038747223, 'e': 0.6361854860638709}",20,0,-76.15038314643728,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
47,False,"{'a': 0.3892310040835975, 'e': 0.6298236312032323}",25,16,-31.17507804477505,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.38533869404276155, 'e': 0.6235253948912}",25,0,9.74187776613743,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.38148530710233397, 'e': 0.617290140942288}",30,23,11.315903695975708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.37767045403131055, 'e': 0.611117239532865}",20,16,8.474180718220824,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.37389374949099746, 'e': 0.6050060671375364}",25,0,13.26268834877794,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.37015481199608746, 'e': 0.598956006466161}",25,7,16.899563343760605,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
