trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.5029928072028568}",20,0,-150.82036727476148,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.49593334655822235}",25,11,-64.25066294909905,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.48902146804244684}",20,4,-51.932684827992894,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.4822530864197528}",20,0,-69.09347613591406,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.47562425683709836}",20,14,11.838241778522988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.4691311690748731}",25,0,-81.80240188486995,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.4627701420704334}",20,9,10.876784350018823,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.4565376186997806}",20,12,15.293419349030353,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.4504301608035671}",25,0,-20.011822800516196,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.4444444444444442}",20,0,-67.33788459876364,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.43857725538353554}",20,0,-12.512298330892248,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.4328254847645427}",25,16,-22.10677260418159,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.4271861249946599}",20,6,-42.94718697250029,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.42165626581210974}",25,0,-72.95133804810217,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.4162330905306969}",20,13,12.418262172169104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.41091387245233374}",20,2,0.46056899397141104,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.4056959714390034}",25,0,-57.28609951645059,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.4005768306361157}",20,0,-3.3618917190724797,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.39555397333966197}",20,8,20.831167623475324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.3906249999999997}",20,14,-1.1034854916591614,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.385787585355503}",25,8,-16.247841239898918,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.38103947568968116}",25,6,18.581250353246794,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.37637848620572817}",25,0,-34.945675959705625,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.37180249851278974}",35,12,3.660663363219834,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3673094582185489}",25,5,-18.756260002864835,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.36289737262302196}",35,18,8.483246446163768,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3585643085087308}",25,0,-32.866044699857234,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.35430839002267545}",25,18,12.140772975578145,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.3501277966457755}",20,14,-1.6615528688070063,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.3460207612456745}",25,0,-13.428261140455307,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.3419855682090213}",25,12,6.111616486687174,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.33802055164954004}",25,1,8.523234124565215,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.33412409368839563}",25,12,10.525130602964158,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.3302946228035405}",30,0,31.867142359905348,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.3265306122448977}",35,21,29.449070100533433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.32283057851239644}",20,0,-74.76096411485072,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.3191930798940276}",30,13,11.046262287723536,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.3156167150612294}",20,0,5.523771960428899,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.3121001217190472}",20,13,-1.8581670582136929,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.30864197530864174}",20,0,-3.360894165068061,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.30524098775983616}",20,15,6.265017631175907,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.3018959062915105}",20,5,17.715168777020104,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.29860551225775606}",20,2,-32.22208404105049,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.29536862003780695}",20,11,5.657811585748554,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.2921840759678595}",35,13,14.726902336093477,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.28905075731298396}",30,0,-45.031559114098116,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.2859675712774169}",20,2,20.240007929948902,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.28293345405160686}",25,0,20.513828478303225,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.2799473698944596}",30,20,20.73030087966319,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.2770083102493073}",35,21,0.0231149063552345,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2741152928921902}",20,0,-19.711742984970297,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.2712673611111109}",25,0,23.18618149831106,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.26846358291497735}",25,0,-33.15103959261736,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.26570305027101687}",20,0,-40.440715882758624,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.2629848783694935}",20,2,-25.100588201644406,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.2603082049146187}",25,17,2.274201250940779,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.25767218944059345}",20,3,19.12753799392366,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.25507601265177}",20,10,-58.10468424803756,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.25251887578596477}",20,3,23.893255897606565,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.24999999999999978}",20,0,-8.711609654334781,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.24751862577658953}",25,15,-24.171396163557898,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
